Title,Service_Type,Rating,Description,More_Info_Link,Source_URL,Scrape_Timestamp
"Gujarat, Collectorate - District Jamnagar : Requesting matter / issue of being a small / marginal farmer",Informational,4.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-jamnagar--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:56
"Gujarat, Collectorate - District Junagadh : certificate for Peasantry",Informational,3.0,"Check process for requesting matter of being an agriculturist is to get an example from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-junagadh--certificate-for-peasantry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:08
"Gujarat, Collectorate - District Junagadh : Requesting matter / issue of being a small / marginal farmer",Informational,3.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-junagadh--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Mahisagar : certificate for Peasantry",Informational,3.0,"Check process for requesting matter of being an agriculturist is to get an example from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-mahisagar--certificate-for-peasantry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Mahisagar : Requesting matter / issue of being a small / marginal farmer",Informational,4.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-mahisagar--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Morbi : certificate for Peasantry",Informational,4.0,"Check process for requesting matter of being an agriculturist is to get an example from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-morbi--certificate-for-peasantry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Morbi : Requesting matter / issue of being a small / marginal farmer",Informational,4.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-morbi--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Navsari : certificate for Peasantry",Informational,3.0,"Check process for requesting matter of being an agriculturist is to get an example from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-navsari--certificate-for-peasantry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Gujarat, Collectorate - District Navsari : Requesting matter / issue of being a small / marginal farmer",Informational,3.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-navsari--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
"Apply online for Soil Health Card, Andaman and Nicobar Islands",Fully Online,3.75,Apply online for Soil Health Card in Agriculture Department,https://services.india.gov.in/service/detail/apply-online-for-soil-health-card-andaman-and-nicobar-islands,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
Application for Assistance under Micro Irrigation,Fully Online,3.0,"Applicants wants to install micro irrigation in agriculture field for that he can use the applicant for assistance micro irrigation (Non- Resident of Andaman can’t apply this service). Pattern of Subsidy: (Installation of Micro Irrigation System Drip/ Sprinkler) Maximum Subsidy Admissible is: 93,750/- per Ha. (75% of system cost including pump set or Rs. 93,750 /- per Ha. whichever is less with 100% transport Subsidy) Eligibility Criteria: For individual farmer / Co-operative farming societies irrespective of any land holding size for maximum 02 Ha per beneficiary. Subsidy will be provided for minimum 0.05 Ha to maximum of 2.00 Ha.",https://services.india.gov.in/service/detail/application-for-assistance-under-micro-irrigation,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=8,2025-02-17 13:13:09
